algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,5.757503590498997,0.6717373828887939,0.8916541954278946,0.0,0.796334657468833,0.0,1000.0,0.0,0.0,0.5322632376628462,0.0,0.6843774702266692,0.0,170.13276767730713,0.0,1.9096612919103773,0.0,8.581519827246666,0.0,2045.8804699272357,0.0,0.6843774702266692,0.0,170.13281965255737,0.0,1.9096612919103773,1.69453350461043,0.5322632376628462,0.6843774702266692,10.888497131347656,130.93635007534309
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,6.038546614298942,0.6739175833463669,0.88439923620224,0.0,0.920358567032963,0.0,1000.0,0.0,0.0,0.46283833941237795,0.0,0.678979145694059,0.0,168.6797375149197,0.0,1.9858789008437532,0.0,6.8355732096566095,0.0,2040.6581769142706,0.0,0.678979145694059,0.0,168.67974599202475,0.0,1.9858789008437532,1.7420693334775759,0.46283833941237795,0.678979145694059,6.072470550537109,73.46369436891375
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,6.038546614298942,0.6778275834321976,0.8727231965065002,0.0,0.7508500907570124,0.0,1000.0,0.0,0.0,0.5067473530458907,0.0,0.6655137157764094,0.0,165.28582954406738,0.0,2.127905165127131,0.0,5.288720930616061,0.0,2045.6088374313003,0.0,0.6655137157764094,0.0,165.28585815429688,0.0,2.127905165127131,1.8019653439944134,0.5067473530458907,0.6655137157764094,7.933719818115234,98.18922419670241
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,6.516452669526992,0.6797193857431412,0.8662791075706482,0.0,0.7891097381711006,0.0,1000.0,0.0,0.0,0.47286000221967694,0.0,0.6416350165826884,0.0,159.35160278320313,0.0,2.253374969406259,0.0,6.698234758377075,0.0,2026.2937345933276,0.0,0.6416350165826884,0.0,159.35161193847657,0.0,2.253374969406259,1.8595366341717783,0.47286000221967694,0.6416350165826884,7.967580139160156,101.31468672966638
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,6.516452669526992,0.6841405823230743,0.8545987700223923,0.0,0.7254560742723314,0.0,1000.0,0.0,0.0,0.4318822719720437,0.0,0.6309878571848451,0.0,156.72234746029503,0.0,2.455617387323362,0.0,7.861630289178145,0.0,2062.5876562813864,0.0,0.6309878571848451,0.0,156.72234023244758,0.0,2.455617387323362,1.9409491791856213,0.4318822719720437,0.6309878571848451,11.910898406982422,156.75666187738537
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,6.516452669526992,0.686199181675911,0.8474208946228028,0.0,0.781871106256457,0.0,1000.0,0.0,0.0,0.4376954534912811,0.0,0.6165863460865326,0.0,153.2557112749885,0.0,2.546949019681895,0.0,3.2077186949112835,0.0,2044.6923619522474,0.0,0.6165863460865326,0.0,153.25567357680376,0.0,2.546949019681895,1.973029125142969,0.4376954534912811,0.6165863460865326,5.210694183349609,69.51954030637641
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,6.516452669526992,0.6882003831863404,0.8399859478473664,0.0,0.5684399879895724,0.0,1000.0,0.0,0.0,0.45356697116333705,0.0,0.6104377386542276,0.0,151.6547376192533,0.0,2.712720231578715,0.0,4.085378085191433,0.0,2047.1675438627558,0.0,0.6104377386542276,0.0,151.65472998985877,0.0,2.712720231578715,2.0125344314935627,0.45356697116333705,0.6104377386542276,7.886046356201172,106.45271228086328
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,6.516452669526992,0.6912835826873779,0.8324740922451019,0.0,0.5999026438221335,0.0,1000.0,0.0,0.0,0.4511757000349462,0.0,0.6059925389348741,0.0,150.54339981079102,0.0,2.8392499711848345,0.0,3.3743846699595452,0.0,2081.7378827561156,0.0,0.6059925389348741,0.0,150.54346237182617,0.0,2.8392499711848345,2.041309171307288,0.4511757000349462,0.6059925389348741,6.0217359924316405,83.26951531024461
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,6.516452669526992,0.6932267823219299,0.8260992195606232,0.0,0.5715969096164446,0.0,1000.0,0.0,0.0,0.2884837144331352,0.0,0.6016701221113264,0.0,149.6504194929793,0.0,3.025754974986847,0.0,5.615689180992745,0.0,2062.427295933903,0.0,0.6016701221113264,0.0,149.65042031777872,0.0,3.025754974986847,2.0826054540899053,0.2884837144331352,0.6016701221113264,11.074131042480468,152.61961989910884
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,6.516452669526992,0.6965575836896897,0.8194549062252044,0.0,0.5423745979433474,0.0,1000.0,0.0,0.0,0.3900897217833478,0.0,0.6002290721471659,0.0,149.15169292947522,0.0,3.133395852935431,0.0,2.4150159307148145,0.0,2061.2385744348758,0.0,0.6002290721471659,0.0,149.1516982368801,0.0,3.133395852935431,2.099790583007842,0.3900897217833478,0.6002290721471659,6.860977874755859,94.81697442400431
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,6.516452669526992,0.6993753814697266,0.8125428076982498,0.0,0.554378709445397,0.0,1000.0,0.0,0.0,0.3317357715219259,0.0,0.6002290721471659,0.0,149.14517822265626,0.0,3.291398154785598,0.0,2.818962327639262,0.0,2135.2768712041648,0.0,0.6002290721471659,0.0,149.14520975748698,0.0,3.291398154785598,2.116266430568592,0.3317357715219259,0.6002290721471659,8.948710693359375,128.11661227224988
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,41,6.516452669526992,0.6995933822393418,0.809879012465477,0.0,0.8691169922617642,0.0,1000.0,0.0,0.0,0.4195994521818451,0.0,0.600229072147166,0.0,149.14986976417336,0.0,3.457145181728074,0.0,13.139840744637155,0.0,2114.8502551487736,0.0,0.600229072147166,0.0,149.14986976417336,0.0,3.457145181728074,2.1293750496179737,0.4195994521818451,0.600229072147166,11.037090362548827,156.49891888100922
