algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,100,4.5419237989440235,0.805583980679512,0.6533787257969379,0.9692307692307692,0.010256496111029073,30246724864.0,1000.0,0.6636363636363637,1.0,10095,200,0,169,0.37763244384213496,21172706941.44,4.541923798944024,0.0,0.24197793634314285,12730980776.96,10.526315789473685,100.95,0.02567731417032325,0.0,4.541923798944024,8.881784197001252e-16,1.7999999999999998,0.9289128703556176,0.17681922522595317
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,101,4.597640005893232,0.8057784801721573,0.6516881147027016,0.9995073891625615,0.010273447175594893,54236242954.24,1000.0,0.9990215264187867,1.0,10575,676,0,187,0.3457924330776388,37965369057.28,4.597640005893233,0.0,0.21967622976411472,22822864143.36,30.727272727272727,105.75,0.02318997860160502,0.0,4.597640005893233,8.881784197001252e-16,1.8150000000000002,0.928230371513591,0.16993585411510212
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,102,4.65460350628586,0.8059727296233177,0.650061322748661,0.9989165763813651,0.010182672723506888,97267275212.8,1000.0,0.7630718954248366,1.0,10577,682,0,231,0.31197558840115863,68087092183.04,4.654603506285859,0.0,0.22199089514712492,40925092515.84,28.416666666666668,105.77,0.02295534657026167,0.0,4.654603506285859,8.881784197001252e-16,1.83,0.9273440792629826,0.16577172309182475
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,103,4.712853335395463,0.8061392299830914,0.6485459506511688,1.0,0.009999204194173217,174562723778.56,1000.0,0.7647058823529411,1.0,10618,722,0,212,0.34284205362200737,122193905070.08,4.712853335395464,0.0,0.2266258473197619,73426558341.12,30.083333333333332,106.18,0.024001874731464284,0.0,4.712853335395464,8.881784197001252e-16,1.845,0.9265185234476605,0.15420676480737136
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,104,4.772430434556013,0.8062649776041507,0.6469978569447994,0.9995037220843673,0.010158053048971024,312700385320.96,1000.0,0.9276556776556777,1.0,10689,791,0,174,0.35563002391295,218890265661.44,4.772430434556013,0.0,0.22015993703495373,131601372948.48,35.95454545454545,106.89,0.023330525061266472,0.0,4.772430434556013,0.0,1.8599999999999999,0.9258795733783827,0.14398126962797983
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,105,4.833377763803692,0.8064494796097279,0.6455359245836735,0.9956439956439956,0.009768515384118808,560135607951.36,1000.0,0.9916333666333667,1.0,10542,644,0,182,0.3209781050682068,392094913699.84,4.833377763803691,0.0,0.2039528167561481,235780231761.92,33.89473684210526,105.42,0.021410563856727828,0.0,4.833377763803691,8.881784197001252e-16,1.875,0.9252132446606014,0.13742834583793662
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,106,4.895740421640309,0.8065747296810151,0.644071848243475,0.9992000000000001,0.00972092019704481,1005152237240.32,1000.0,0.9076479076479077,1.0,10535,638,0,229,0.29550084844231606,703606545940.48,4.89574042164031,0.0,0.18797206754485765,422875526594.56,26.583333333333332,105.35,0.019512615644241945,0.0,4.89574042164031,8.881784197001252e-16,1.8900000000000001,0.9243770643170082,0.13461541523835896
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,107,4.959565772364041,0.8067769786715507,0.6425930190086365,0.9985915492957746,0.009530297676591496,1802297736232.96,1000.0,0.9065656565656565,1.0,10367,469,0,154,0.3192029250295539,1261608382955.52,4.959565772364042,0.0,0.20452681183815002,758307367895.04,24.68421052631579,103.67,0.019758878544599588,0.0,4.959565772364042,8.881784197001252e-16,1.905,0.9238318623312889,0.13331442122503295
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,108,5.024903581438015,0.806971229314804,0.6412066078186035,0.9961677129818722,0.009358914413799843,3234814894735.36,1000.0,0.9924951267056529,1.0,10448,550,0,126,0.3977931605445014,2264370362449.92,5.024903581438016,0.0,0.23467277155982125,1360619268833.28,30.555555555555557,104.48,0.022739463375086835,0.0,5.024903581438016,8.881784197001252e-16,1.92,0.9233612877292512,0.1290926525666099
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,109,5.09180615939299,0.8071257293224334,0.639897083491087,0.9982838927435923,0.009510288748777273,5798980963532.8,1000.0,0.7474486971285155,1.0,10766,874,0,416,0.2577887389696006,4059286594191.36,5.0918061593929895,0.0,0.19795873354781757,2439890678743.04,26.484848484848484,107.66,0.021225863431708018,0.0,5.0918061593929895,8.881784197001252e-16,1.935,0.9218417688266556,0.11694824054578379
