algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,3.0259713113403426,0.8666805791854858,0.5046563418507576,0.0,0.7578234864132745,0.0,1000.0,0.0,0.0,0.8962352475100529,0.0,202.11141749790735,0.0,0.905335796730859,0.0,7.414160779544285,0.0,1.5012011499917348,0.0,0.8962352475100529,0.0,202.11141749790735,0.0,4106.359855638304,0.0,1.5012011499917348,1.1392735539618744,0.905335796730859,0.8962352475100529,11.318239379882813,229.95615191574504
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,3.0259713113403426,0.8681637786626816,0.49491127783060074,0.0,0.8427536374046689,0.0,1000.0,0.0,0.0,0.919154462322003,0.0,207.32752264113654,0.0,0.8660593061220079,0.0,6.1270782379877,0.0,1.5407190933110377,0.0,0.919154462322003,0.0,207.32752264113654,0.0,4409.302324271288,0.0,1.5407190933110377,1.1405974750413184,0.8660593061220079,0.919154462322003,8.707755950927734,185.19069761939417
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,3.0259713113403426,0.869305178284645,0.48633375054597855,0.0,1.0425456453646933,0.0,1000.0,0.0,0.0,0.9110063049120608,0.0,205.39577647617884,0.0,0.8648162420306887,0.0,13.236516458647591,0.0,1.583124778951354,0.0,0.9110063049120608,0.0,205.39577647617884,0.0,4463.629691083732,0.0,1.583124778951354,1.1433785417825386,0.8648162420306887,0.9110063049120608,11.502163482666015,249.96326270068897
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,3.0259713113403426,0.8704609786272048,0.47839007318019866,0.0,0.8943533954166231,0.0,1000.0,0.0,0.0,0.8857958685481009,0.0,199.70016188848587,0.0,0.88513731104987,0.0,6.657916625340779,0.0,1.6407493528530208,0.0,0.8857958685481009,0.0,199.70016188848587,0.0,4470.0611407992565,0.0,1.6407493528530208,1.1408367246571398,0.88513731104987,0.8857958685481009,8.387406799316405,187.74256791356876
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,3.100161823503406,0.8714305783510208,0.47132493698596956,0.0,0.9306674301624298,0.0,1000.0,0.0,0.0,0.8929608918161407,0.0,201.71630859375,0.0,0.8648242250084877,0.0,5.690819621086121,0.0,1.6823158014285031,0.0,0.8929608918161407,0.0,201.71630859375,0.0,4747.992838344348,0.0,1.6823158014285031,1.1407332895652322,0.8648242250084877,0.8929608918161407,8.06865234375,189.91971353377392
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,3.2600690564256833,0.8724359780550003,0.4646126453280449,0.0,0.7244352055223364,0.0,1000.0,0.0,0.0,0.8414112643060184,0.0,189.71676234195107,0.0,0.9196065507437053,0.0,4.74506025565298,0.0,1.7439537000078007,0.0,0.8414112643060184,0.0,189.71676234195107,0.0,4620.943432422491,0.0,1.7439537000078007,1.138434111710481,0.9196065507437053,0.8414112643060184,7.209236968994141,175.59585043205468
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,3.2730711130406176,0.8733231785297394,0.45856912022829055,0.0,0.8700081936337731,0.0,1000.0,0.0,0.0,0.9037912703796555,0.0,204.1828377463601,0.0,0.8278459093787454,0.0,6.514333226464012,0.0,1.788339967509471,0.0,0.9037912703796555,0.0,204.1828377463601,0.0,5066.354385249651,0.0,1.788339967509471,1.136997020616076,0.8278459093787454,0.9037912703796555,8.984044860839843,222.91959295098465
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,3.303934968169316,0.8741069797277451,0.4531550584435463,0.0,0.9188221429403012,0.0,1000.0,0.0,0.0,0.8852063153032265,0.0,199.74323096642127,0.0,0.8404111953882071,0.0,12.544998659537388,0.0,1.8415795119536893,0.0,0.8852063153032265,0.0,199.74323096642127,0.0,5069.654650137033,0.0,1.8415795119536893,1.134301977964502,0.8404111953882071,0.8852063153032265,10.386648010253905,263.6220418071257
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,3.335308650633853,0.8749003771543503,0.44806284642219546,0.0,0.8197515231591684,0.0,1000.0,0.0,0.0,0.8739678721913849,0.0,197.22524120189524,0.0,0.8436270532784639,0.0,8.093216489862513,0.0,1.8961104922287038,0.0,0.8739678721913849,0.0,197.22524120189524,0.0,5199.876151941296,0.0,1.8961104922287038,1.1322531067184798,0.8436270532784639,0.8739678721913849,10.650163024902344,280.7933122048299
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,3.370974349797376,0.8756159775257111,0.4433450684547424,0.0,0.798805757647469,0.0,1000.0,0.0,0.0,0.866601635735781,0.0,195.3258543468657,0.0,0.8418497528348651,0.0,5.912682249432518,0.0,1.9327098136329206,0.0,0.866601635735781,0.0,195.3258543468657,0.0,5240.604930221613,0.0,1.9327098136329206,1.133454485995008,0.8418497528348651,0.866601635735781,8.20368588256836,220.10540706930774
