algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,3.421415943367621,0.8772783106565476,0.4339962196350098,nan,0.8668342882936652,0.08037041680887341,1000.0,0.0,nan,0,31287,0,217,0.12686581563585522,0.0011070256220409647,0.8663052823968936,0.0,0.8306101845069365,0.0,2.0308144341127727,0.0,195.51554177024147,0.0,5394.337105402867,0.0,0.8663052823968936,0.0,195.51554177024147,0.0,2.0308144341127727,1.131602988419731,0.8306101845069365,0.8663052823968936,14.337806396484375,395.5847210628769
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,3.4562171457165083,0.8778096463282903,0.4302179985245069,nan,1.1145151530702908,0.07947128595784307,1000.0,0.0,nan,0,30680,0,208,0.09795577584494215,0.001202371492399834,0.8596094510420106,0.0,0.827986886103948,0.0,2.0642598905379304,0.0,193.60610326131186,0.0,5529.495225713771,0.0,0.8596094510420106,0.0,193.60610326131186,0.0,2.0642598905379304,1.1308042433297174,0.827986886103948,0.8596094510420106,7.744244130452474,221.17980902855086
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,3.5061202247651524,0.8783833122253418,0.42676632265249886,nan,1.0149728495341082,0.07958438700065017,1000.0,0.0,nan,0,30647,0,209,0.10444522460994239,0.0011449642886873334,0.7941335952853288,0.0,0.9063765773406396,0.0,2.123188981492905,0.0,179.2230424147386,0.0,5183.6492774704975,0.0,0.7941335952853288,0.0,179.2230424147386,0.0,2.123188981492905,1.1244030498297692,0.9063765773406396,0.7941335952853288,7.766331837972005,224.62480202372157
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,3.5609487158710795,0.8788926454385122,0.42342947085698446,nan,0.9630394677321116,0.07797449260950089,1000.0,0.0,nan,0,30602,0,208,0.0836148884651872,0.0009806865287828258,0.8569927007926972,0.0,0.8079504668712616,0.0,2.16607445486229,0.0,193.1256217956543,0.0,5337.722037802127,0.0,0.8569927007926972,0.0,193.1256217956543,0.0,2.16607445486229,1.1169945835586879,0.8079504668712616,0.8569927007926972,7.725024871826172,213.50888151208505
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,3.620645994842278,0.8791153120994568,0.4210858831803004,nan,1.0992545511411584,0.07875266727060079,1000.0,0.0,nan,0,32136,0,220,0.07420175604056567,0.0011598551482893526,0.8617788921612238,0.0,0.7892458218595256,0.0,2.2103945936281244,0.0,194.31102122431216,0.0,5582.003696753147,0.0,0.8617788921612238,0.0,194.31102122431216,0.0,2.2103945936281244,1.1195555754318418,0.7892458218595256,0.8617788921612238,14.897178293863933,427.95361675107466
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,3.685078640472122,0.8796136450767517,0.4180671571691831,nan,1.0200057675441105,0.08043796027079225,1000.0,0.0,nan,0,30565,0,209,0.1377747169851015,0.0012652172788511962,0.8414446961661306,0.0,0.8059331377347311,0.0,2.24830604459668,0.0,189.76111348470053,0.0,5615.307266846347,0.0,0.8414446961661306,0.0,189.76111348470053,0.0,2.24830604459668,1.116631361938271,0.8059331377347311,0.8414446961661306,7.590444539388021,224.61229067385392
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,3.7824607976128384,0.8801463105281194,0.4151609269777934,nan,0.7725107669830322,0.07850196477025748,1000.0,0.0,nan,0,30722,0,208,0.13217329767455036,0.0010461702762404456,0.8230267441882401,0.0,0.8203315585851669,0.0,2.2917037975818584,0.0,185.5873285929362,0.0,5975.429879662723,0.0,0.8230267441882401,0.0,185.5873285929362,0.0,2.2917037975818584,1.1070497353889281,0.8203315585851669,0.8230267441882401,7.423493143717448,239.01719518650887
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,3.827333565551222,0.8804239767789841,0.41306513766447706,nan,1.055902136997743,0.08055067763663828,1000.0,0.0,nan,0,30061,0,207,0.22224026719446888,0.0009099343817797489,0.8180049736211307,0.0,0.8157458847219293,0.0,2.339445157993339,0.0,184.5659873268821,0.0,5692.513219685509,0.0,0.8180049736211307,0.0,184.5659873268821,0.0,2.339445157993339,1.0975870479535,0.8157458847219293,0.8180049736211307,6.767419535319011,208.72548472180202
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,3.9046646684598763,0.880698310136795,0.4112590538462003,nan,1.089166986445586,0.07808374378830195,1000.0,0.0,nan,0,31183,0,219,0.1596725306008011,0.0008890396897913888,0.8568075491925867,0.0,0.7471035247047743,0.0,2.375318535766722,0.0,193.13224411010742,0.0,6141.467172998324,0.0,0.8568075491925867,0.0,193.13224411010742,0.0,2.375318535766722,1.1030865410630957,0.7471035247047743,0.8568075491925867,15.450579528808595,491.3173738398659
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,4.071181334460618,0.88100164492925,0.4091673563917478,nan,0.9394717056017655,0.07936369692906738,1000.0,0.0,nan,0,30449,0,209,0.13393754948181316,0.0010003135184524581,0.7927555142738657,0.0,0.8291153311729431,0.0,2.4166982562705828,0.0,178.9515181321364,0.0,5569.993835295687,0.0,0.7927555142738657,0.0,178.9515181321364,0.0,2.4166982562705828,1.1012423372080895,0.8291153311729431,0.7927555142738657,7.754565785725911,241.36639952947976
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,4.071181334460618,0.8814296432336172,0.4069243775804838,nan,1.1516712427139282,0.07976843767799437,1000.0,0.0,nan,0,30854,0,212,0.1916674008437743,0.001018053990555927,0.796628430566533,0.0,0.8115700324376424,0.0,2.458305814570403,0.0,179.95106811523436,0.0,5915.848441554662,0.0,0.796628430566533,0.0,179.95106811523436,0.0,2.458305814570403,1.0992827133762944,0.8115700324376424,0.796628430566533,8.99755340576172,295.79242207773314
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,4.071181334460618,0.8813913104931513,0.4062087301413218,nan,1.3625925597937212,0.08051549298688769,1000.0,0.0,nan,0,31206,0,220,0.38154932222349325,0.0009620415154495276,0.8006805957769574,0.0,0.7935202380885249,0.0,2.489507618221416,0.0,180.56723221488622,0.0,5990.354676170193,0.0,0.8006805957769574,0.0,180.56723221488622,0.0,2.489507618221416,1.1147879787804813,0.7935202380885249,0.8006805957769574,13.843487803141276,459.2605251730481
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.24949817428469,0.8818759785095851,0.40371327777703603,nan,0.9189786378826413,0.08047540969215333,1000.0,0.0,nan,0,31106,0,210,0.19820413465744682,0.000982956453517545,0.791402850802924,0.0,0.7955152860709599,0.0,2.537923859989553,0.0,178.80432346888952,0.0,6017.444452252761,0.0,0.791402850802924,0.0,178.80432346888952,0.0,2.537923859989553,1.1111985347231486,0.7955152860709599,0.791402850802924,8.34420176188151,280.81407443846217
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.343509761970973,0.8819786445299784,0.40261573672294615,nan,1.1066467000378504,0.0810366187337786,1000.0,0.0,nan,0,31011,0,213,0.07653671147353533,0.0009621973527828232,0.7943231953142279,0.0,0.7789206918742921,0.0,2.603367878787895,0.0,179.414065890842,0.0,5667.768672014446,0.0,0.7943231953142279,0.0,179.414065890842,0.0,2.603367878787895,1.103972517841474,0.7789206918742921,0.7943231953142279,10.764843953450521,340.06612032086673
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.690304008847463,0.8822256455818812,0.4009606728951136,nan,1.0454362614287271,0.0810064573213458,1000.0,0.0,nan,0,31098,0,214,0.05976277826509128,0.0008699360513128341,0.7883277398599452,0.0,0.7759578277667364,0.0,2.6678294960894116,0.0,177.80772569444446,0.0,6078.713870242338,0.0,0.7883277398599452,0.0,177.80772569444446,0.0,2.6678294960894116,1.0965927912451068,0.7759578277667364,0.7883277398599452,10.668463541666666,364.7228322145403
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,5.078665764203794,0.8822829765081406,0.40015869071086246,nan,1.2971351515679133,0.08128182873129845,1000.0,0.0,nan,0,31570,0,216,0.18978257724804626,0.0008529254503082484,0.7822154525681869,0.0,0.7732419740586054,0.0,2.7009363427010498,0.0,176.53545924595423,0.0,6063.10047634678,0.0,0.7822154525681869,0.0,176.53545924595423,0.0,2.7009363427010498,1.1125453605383635,0.7732419740586054,0.7822154525681869,12.357482147216796,424.4170333442746
