algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,31,1.4724814279430891,0.7727653806209565,0.6474591552019119,nan,0.03960194873313109,0.0,1000.0,0.0,nan,0,3,0,123,1.1555404828654394,0.0,0.16666666666666666,0.0,0.13341669726768435,0.0,1.472481427943089,0.0,1.8788038161065843,0.0,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.9779743054856244,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,32,1.5138153326430999,0.7737151807546616,0.6438997818231582,nan,0.03740051714703441,0.0,1000.0,0.0,nan,0,5,0,219,1.0926996419827144,0.0,0.20833333333333334,0.0,0.1260955463172488,0.0,1.5138153326430996,0.0,1.506094162662824,0.0,1.5138153326430996,2.220446049250313e-16,0.78,0.9773092790996534,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,33,1.5568571736316952,0.7747587808370591,0.6404576390981674,nan,0.0390700501203537,0.0,1000.0,0.0,nan,0,3,0,231,0.990097393989563,0.0,0.12,0.0,0.1163879974267168,0.0,1.5568571736316952,0.0,1.5195101690292359,0.0,1.5568571736316952,0.0,0.795,0.9766404307013653,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,34,1.5961356544147973,0.7758203800916672,0.6372092975378036,nan,0.03759891990768282,0.0,1000.0,0.0,nan,0,6,0,556,1.044770730169196,0.0,0.15789473684210525,0.0,0.12649699851092847,0.0,1.5961356544147978,0.0,1.2177509728230929,0.0,1.5961356544147978,4.440892098500626e-16,0.81,0.9750171499138148,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,35,1.6303152389904,0.7766483805179596,0.6341238358020782,nan,0.038591420168385786,0.0,1000.0,0.0,nan,0,1,0,113,1.0740102354217977,0.0,0.058823529411764705,0.0,0.11066516373281662,0.0,1.6303152389903999,0.0,1.8551905014935661,0.0,1.6303152389903999,2.220446049250313e-16,0.825,0.9746962942707906,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,36,1.6656394806877934,0.7772803791761398,0.6315218255519867,nan,0.03629358112812042,0.0,1000.0,0.0,nan,0,2,0,286,0.9278361934881943,0.0,0.07692307692307693,0.0,0.11179966826801752,0.0,1.6656394806877939,0.0,1.3028489557596354,0.0,1.6656394806877939,4.440892098500626e-16,0.84,0.9738477975523258,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,37,1.7021545775828013,0.7782535790205002,0.6288391234874725,nan,0.035598235204815865,0.0,1000.0,0.0,nan,0,2,0,156,0.9119490206241607,0.0,0.1,0.0,0.10140201598184358,0.0,1.7021545775828018,0.0,1.4329231321811675,0.0,1.7021545775828018,4.440892098500626e-16,0.855,0.9733938292563584,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,38,1.7399113538860758,0.7788541803359985,0.6262968325614929,nan,0.03618924974187,0.0,1000.0,0.0,nan,0,5,0,525,1.090838367874558,0.0,0.13513513513513514,0.0,0.12290024853029916,0.0,1.7399113538860753,0.0,1.2004768300700832,0.0,1.7399113538860753,4.440892098500626e-16,0.8700000000000001,0.9718787770318555,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,39,1.7789660529514504,0.7796427804231644,0.6238199751377106,nan,0.03552926283167756,0.0,1000.0,0.0,nan,0,11,0,189,1.0498606899510259,0.0,0.4782608695652174,0.0,0.10930503804089857,0.0,1.7789660529514502,0.0,1.3459445134453152,0.0,1.7789660529514502,2.220446049250313e-16,0.885,0.971307555618398,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,40,1.8193813121440443,0.7803199793100357,0.6216085608005524,nan,0.03493353879700104,0.0,1000.0,0.0,nan,0,8,0,350,0.9077927132447561,0.0,0.26666666666666666,0.0,0.11135796973048265,0.0,1.8193813121440445,0.0,1.2545420289039613,0.0,1.8193813121440445,2.220446049250313e-16,0.8999999999999999,0.9702949688791759,0.0
