algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,84,5.67147727094524,0.3524967903494835,3.1906473064422607,0.0,4.4867029495239255,0.0,4.0,0.0,0.0,39.67436635494232,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,85,5.7018727490877525,0.35265319073200224,3.208368923664093,0.0,4.486351927757263,0.0,4.0,0.0,0.0,39.75972366333008,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,86,5.732268227230265,0.35403539177775384,3.2142555294036863,0.0,4.487506482124329,0.0,4.0,0.0,0.0,39.77848749575408,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,87,5.762663705372778,0.3568653907775879,3.2172831473350523,0.0,4.487247924804688,0.0,4.0,0.0,0.0,39.813727617263794,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,88,5.7930591835152905,0.35736039105057715,3.234342321872711,0.0,4.487354425430298,0.0,4.0,0.0,0.0,39.749709129333496,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,89,5.823454661657803,0.3594981906116009,3.2369822039604186,0.0,4.4875923500061035,0.0,4.0,0.0,0.0,39.878664864434135,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,90,5.853850139800316,0.3616449913084507,3.237074303150177,0.0,4.48775713634491,0.0,4.0,0.0,0.0,39.68434233414499,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,91,5.884245617942828,0.3624047911465168,3.248065771102905,0.0,4.486615940093994,0.0,4.0,0.0,0.0,39.706624404243804,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,92,5.914641096085341,0.364367191195488,3.245655774593353,0.0,4.486460309028626,0.0,4.0,0.0,0.0,39.54849370320638,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,93,5.945036574227854,0.36559199118614194,3.2561808466911315,0.0,4.4870786256790165,0.0,4.0,0.0,0.0,39.64670680119441,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,94,5.975432052370366,0.3667513913810253,3.261372621536255,0.0,4.486368027687073,0.0,4.0,0.0,0.0,39.85894966125488,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,95,6.005827530512879,0.36773538997769356,3.2710124311447144,0.0,4.4866552104949955,0.0,4.0,0.0,0.0,39.67212492844154,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,96,6.036223008655392,0.3691553908288479,3.282316467285156,0.0,4.487985346794129,0.0,4.0,0.0,0.0,39.73926424298968,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,97,6.066618486797904,0.3701413900256157,3.284318250179291,0.0,4.487231032371521,0.0,4.0,0.0,0.0,39.81074578421457,0.0
