algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,54,0.0,0.8843979785839716,0.38995800316333773,1.0,0.02666416424016158,950.5773951721192,,1.0,1.0,6528,0,24000,766,6.06346882090849,1017.3710871887207,8.404460383034449,1410.1589782465762,8.117647058823529,123.14
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,55,0.0,0.8846453116337458,0.38893301258484525,1.0,0.02535467772434155,9269.313061523437,,1.0,1.0,2803,0,27511,498,6.0503877859849196,9915.049650878906,8.33060609530175,13651.748611578527,6.461538461538462,139.625
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,56,0.0,0.8848479763666789,0.38804675489664076,1.0,0.024829841951529184,93697.94509765625,,1.0,1.0,1671,0,28537,358,6.091430139541626,100356.673125,8.331387998691106,137260.1118142525,5.0,144.225
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,57,0.0,0.8850156454245249,0.38706927210092545,1.0,0.024526236498107513,1018031.4359375,,1.0,1.0,674,0,29682,700,6.086701655387879,1089634.7575,8.269605859213154,1480415.910815672,12.2,150.69
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,58,0.0,0.8851299784580866,0.38629402538140617,1.0,0.02424500192825993,11088044.3275,,1.0,1.0,787,0,29898,1091,6.105494777361552,11880070.6325,8.240021854130854,16033433.03205994,12.75,153.415
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,59,0.0,0.8852236433823903,0.385596898496151,1.0,0.02401410904402534,119918810.56,,1.0,1.0,443,0,29900,559,6.116021474202474,128495682.12,8.199383592284724,172266463.10811856,7.733333333333333,151.715
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,60,0.0,0.8854356437921524,0.38479406654834747,1.0,0.023748161991437276,1271362452.8,,1.0,1.0,467,0,29900,537,6.120967348416646,1366182355.84,8.15148941932726,1819389058.0680993,5.833333333333333,151.835
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,61,0.0,0.8855949753522873,0.3842049644390742,1.0,0.023437273496141036,14120784501.76,,1.0,1.0,372,0,29900,530,6.141046553850174,15135673364.48,8.123889349051508,20022733024.117958,9.875,151.36
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,62,0.0,0.8855919770399729,0.3836854452888171,1.0,0.02332129153733452,150515872890.88,,1.0,1.0,592,0,29900,720,6.1460714638233185,161871148687.36,8.076513419322364,212713846929.68015,8.0,152.46
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,63,0.0,0.8857943109671275,0.3830587485432625,1.0,0.022979979272931814,1668822774579.2,,1.0,1.0,641,0,29900,829,6.152608996943424,1789523840860.16,8.0313829247333,2335976693143.9224,9.894736842105264,152.705
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,64,0.0,0.8858166444301605,0.38251493563254674,1.0,0.022736899871379137,18053895993425.92,,1.0,1.0,1008,0,29900,1162,6.151020103030735,19364923194736.64,7.975958150373,25110276734472.754,8.555555555555555,154.54
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,65,0.0,0.8859496456384659,0.3819711208343506,1.0,0.02249890936538577,193580871314309.12,,1.0,1.0,734,0,29900,914,6.170265423624139,207549945253724.16,7.947751321127889,267339447874420.88,9.473684210526315,153.17
