algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,30,1.4327504734265042,0.8758124786615372,0.4408465349674225,nan,0.03633220894978596,0.039666552717487015,1000.0,nan,nan,0,343,0,50877,0.13259347401169574,0.08499820287621927,0.6523079299009763,0.3076788059870402,1.432750473426504,1.432750473426504,0.0,1.1433333333333333,0.4928939308111484,0.1602155414223671,1.4327504734265044,2.220446049250313e-16,0.75,0.9784161974925073,0.7216622058102128
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,31,1.4724814279430891,0.8763799768686295,0.43666588366031645,nan,0.03617374332887786,0.03876414474099874,1000.0,0.0,nan,0,167,0,50443,0.1418062911605424,0.08222953351098626,0.6611844514097486,0.2989599871635437,1.4724814279430891,1.4724814279430893,0.2857142857142857,0.55,0.586204183953149,0.15520286371310552,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.97810978501384,0.7198947212608687
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,32,1.5138153326430999,0.8770649787783623,0.43294825211167337,nan,0.035324642062187196,0.03782944717754921,1000.0,0.0,nan,0,92,0,50698,0.11675954401811532,0.07959801935438923,0.6966845333576203,0.29474303474028907,1.5138153326430999,1.5138153326430999,0.1,0.30333333333333334,0.514766326546669,0.15204867452383042,1.5138153326430996,2.220446049250313e-16,0.78,0.9773810514661211,0.7127331639491752
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,33,1.5568571736316952,0.8775664776563644,0.4294943681359291,nan,0.0357134498655796,0.037211931124329564,1000.0,nan,nan,0,10,0,50210,0.10160191096276916,0.07716420431362758,0.9950285971164703,0.27791894008715945,1.556857173631695,1.556857173631695,0.0,0.03333333333333333,0.5641337841749191,0.14538588677843411,1.5568571736316952,0.0,0.795,0.9772005020200882,0.7109542193692844
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,34,1.5961356544147973,0.878099976181984,0.4261912304162979,nan,0.03395498142792629,0.03645837524284919,1000.0,nan,nan,0,41,0,51391,0.10371139062393249,0.07492176766419233,0.5679135070397303,0.2696420440574487,1.5961356544147975,1.5961356544147975,0.0,0.13666666666666666,0.4444760645811374,0.1405110136171182,1.5961356544147978,4.440892098500626e-16,0.81,0.9760952177152369,0.7065457410698522
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,35,1.6303152389904,0.8786364787817001,0.42309934094548224,nan,0.033664520829916,0.03579829058299462,1000.0,nan,nan,0,255,0,50825,0.11624220214840987,0.07278588427811238,0.589061745188453,0.2614483024676641,1.6303152389903997,1.6303152389903999,0.0,0.85,0.4607604755596681,0.13584846667945386,1.6303152389903999,2.220446049250313e-16,0.825,0.9753082396713714,0.7053710248494734
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,36,1.6656394806877934,0.8790359798073769,0.42025833919644356,nan,0.03254213401426872,0.03521325600643953,1000.0,nan,nan,0,34,0,50430,0.09744236454170561,0.07079967290106676,0.5427267253398895,0.25783943603436155,1.6656394806877939,1.6656394806877937,0.0,0.11333333333333333,0.4061679393053055,0.13295173287391662,1.6656394806877939,4.440892098500626e-16,0.84,0.9750776736322465,0.7017870283026955
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,37,1.7021545775828013,0.8794129776954651,0.4176917169988155,nan,0.03169197235256434,0.03455939737459024,1000.0,0.0,nan,0,144,0,50544,0.10874478572562016,0.06895799498360611,0.702324116230011,0.25035776421427725,1.7021545775828013,1.702154577582801,0.1,0.4766666666666667,0.5578295305371285,0.12951673338810601,1.7021545775828018,4.440892098500626e-16,0.855,0.9742916450168022,0.6991276028562213
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,38,1.7399113538860758,0.8797869765758515,0.41524978414177893,nan,0.031542327255010605,0.034012208729982375,1000.0,0.0,nan,0,660,0,51180,0.1368760237045583,0.06717707869959898,0.5218279030587938,0.24079883515834807,1.7399113538860758,1.7399113538860755,0.1111111111111111,2.1933333333333334,0.5376243111160066,0.12551190095643203,1.7399113538860753,4.440892098500626e-16,0.8700000000000001,0.9719243000928851,0.7005137271942654
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,39,1.7789660529514504,0.8801364779472352,0.4128939129412174,nan,0.030502025596797468,0.033444217710445326,1000.0,0.0,nan,0,130,0,50508,0.09545943336178801,0.0654969552100155,0.6223897457122802,0.23617818156878154,1.7789660529514504,1.7789660529514504,0.2,0.4266666666666667,0.41533252894878386,0.12221044120689233,1.7789660529514502,2.220446049250313e-16,0.885,0.9711518155721274,0.699564144458165
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,40,1.8193813121440443,0.8804994788765907,0.4106316131353378,nan,0.030653864352239504,0.03298630074287454,1000.0,nan,nan,0,274,0,50932,0.08492205147016617,0.06391663721325924,0.38065701723098755,0.22795946031808853,1.8193813121440445,1.8193813121440439,0.0,0.9133333333333333,0.28554117017322117,0.11828899989525476,1.8193813121440445,2.220446049250313e-16,0.8999999999999999,0.9708276716159654,0.6973680800570532
