algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,30,1.4327504734265042,0.8755526449282964,0.4417400138576825,nan,0.037334771657531914,0.04023050289601088,1000.0,nan,nan,0,275,0,31229,0.0,1.375,1.432750473426504,1.432750473426504,0.12467889730019445,0.08618498857022339,0.6701981235634197,0.17585233993828298,0.8388849415562369,0.34169106781482694,1.4327504734265044,2.220446049250313e-16,0.75,0.977895560281663,0.7025961394471137
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,31,1.4724814279430891,0.8761896443367004,0.43754620959361396,nan,0.036415823735296726,0.039487084168940784,1000.0,0.0,nan,0,156,0,30732,0.4166666666666667,0.755,1.4724814279430893,1.4724814279430891,0.1386949324956893,0.08338360099842702,0.6499686911702156,0.16545997135341167,0.9224437773227692,0.313256281465292,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.9775504260442271,0.7029174816697742
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,32,1.5138153326430999,0.8768239782253902,0.433729186753432,nan,0.0354533688380168,0.038516837041825056,1000.0,0.0,nan,0,140,0,30716,0.07692307692307693,0.695,1.5138153326430999,1.5138153326430999,0.11066524740136599,0.08073873992138356,0.5896439368908222,0.16082173980772496,0.8883781180931971,0.3126625299453735,1.5138153326430996,2.220446049250313e-16,0.78,0.9770309716117651,0.6978695208609065
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,33,1.5568571736316952,0.877383975982666,0.43018789470195773,nan,0.03521012018124262,0.037845204416662455,1000.0,nan,nan,0,146,0,30664,0.0,0.73,1.556857173631695,1.556857173631695,0.10622279866684137,0.07827652133234012,0.5422360002994537,0.15436801820993423,0.937062161664168,0.29592269942164423,1.5568571736316952,0.0,0.795,0.976614726865461,0.6957182127724539
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,34,1.5961356544147973,0.8779099774360657,0.42689238250255584,nan,0.034522313138713005,0.036889767702668906,1000.0,0.0,nan,0,460,0,31896,0.08695652173913043,2.29,1.5961356544147975,1.5961356544147975,0.12028787026337155,0.07592091573498962,0.5063111982915712,0.15030154906213283,0.6686206783937372,0.2906833552569151,1.5961356544147978,4.440892098500626e-16,0.81,0.9752183938445734,0.6944983806032735
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,35,1.6303152389904,0.8783893098433813,0.4237992265820503,nan,0.03322651951263348,0.03623997237533331,1000.0,nan,nan,0,117,0,30657,0.0,0.585,1.6303152389903999,1.6303152389903997,0.12156955021751199,0.07374380647652043,0.7196894710262617,0.14563735015690327,0.9997889374693235,0.28112583979964256,1.6303152389903999,2.220446049250313e-16,0.825,0.9747232951743031,0.6930503137082532
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,36,1.6656394806877934,0.8788436448574066,0.4209093986948331,nan,0.031827999434123434,0.03572732565924525,1000.0,0.0,nan,0,183,0,30747,0.16666666666666666,0.905,1.6656394806877937,1.6656394806877939,0.10234228015123781,0.07171045140203314,0.5162636203070482,0.14267997249960898,0.7927126437425613,0.2774388029426336,1.6656394806877939,4.440892098500626e-16,0.84,0.9743354454882831,0.6884107909365432
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,37,1.7021545775828013,0.879259645541509,0.41827055722475054,nan,0.03283955258401958,0.035104311183094976,1000.0,0.0,nan,0,84,0,30184,0.09090909090909091,0.415,1.702154577582801,1.7021545775828013,0.10612995380642354,0.06982834840476694,0.7882928550243378,0.13851720169186593,1.199468114159324,0.2676536509394646,1.7021545775828018,4.440892098500626e-16,0.855,0.9738408831085081,0.6867347242268413
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,38,1.7399113538860758,0.8795453141132991,0.41599304378032687,nan,0.031785500779127084,0.03447887973859906,1000.0,0.0,nan,0,327,0,31075,0.25,1.605,1.7399113538860755,1.7399113538860758,0.12725982990534113,0.06800598727080268,0.8309640480826298,0.13372280813753604,0.7962790292998155,0.25604001320898534,1.7399113538860753,4.440892098500626e-16,0.8700000000000001,0.9718850451888198,0.6872482855877917
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,39,1.7789660529514504,0.8799739780028661,0.4135952261090279,nan,0.031180804308790427,0.033845399701967836,1000.0,0.0,nan,0,119,0,30539,0.07692307692307693,0.59,1.7789660529514504,1.7789660529514504,0.08885903169073162,0.06631538245262383,0.48060960838427913,0.13014735464006663,0.8058408086116498,0.25205786123871804,1.7789660529514502,2.220446049250313e-16,0.885,0.9713231320622258,0.6856197190595562
